Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Venafi,venafi.com,Looking for a reliable certificate management tool? Visit Venafi today & get end-to-end protection for all your keys & certificates.,257,252,5,2%,234,23,10%,"7,941","8,426",-6%,"9,381",-15%,,,,,,20,77,1297,2004,Late,"Foundation Capital,Highway 12 Ventures,Intel Capital,Mercato Partners,Origin Partners (Origin Capital),Pelion Venture Partners,QuestMark Partners,Silver Lake Partners",$67.0M¾,6/30/15,"$39,000,000 ",Salt Lake City,Salt Lake City,Salt Lake City,UT,United States,North America,B2B,"analytics,data storage,enterprise software,finance,human resources hr,information security,mobile,physical security,security,storage",encryption,No,No,No
VendAsta,vendasta.com,Vendasta is the leading marketing & sales platform with a marketplace that helps you sell white-label digital solutions to local businesses at scale.,219,214,5,2%,202,17,8%,"84,296","77,650",9%,"78,336",8%,,,,,,48,180,3430,2008,B,"BDC Venture Capital,Vanedge Capital,Victoria Park Capital",$11.3M¾,3/18/13,"$8,250,000 ",Saskatoon,Saskatoon,,SK,Canada,North America,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics",,No,No,No
Verint Systems,verint.com,Provides Actionable IntelligenceÎÂ solutions for enterprise workforce optimization and security intelligence.,"2,834","2,843",-9,0%,"2,885",-51,-2%,"149,241","160,316",-7%,"169,772",-12%,,,,,,75,685,17648,1994,Exited (acquired),"Austin Ventures,Mayfield Fund,Selby Ventures,US Venture Partners",$21.3M¾,12/14/10,"$5,000,000 ",New York,Melville,New York,NY,United States,North America,"B2B,B2C","analytics,enterprise software,human resources hr,information security,security",community,No,No,No
Verisk Analytics,verisk.com,The world's most effective and responsible data analytics company in pursuit of our customers' most strategic opportunities,858,832,26,3%,705,153,22%,"160,388","160,902",0%,"204,036",-21%,,,,,,,,,2004,Exited (ipo),,Undisclosed,,Undisclosed,New York,Jersey City,New York,NJ,United States,North America,B2B,"analytics,finance,human resources hr",,No,No,No
Veritone,veritone.com,"Veritone is the first, cloud-based technology company to provide cognitive tools to harness the power of the worldês media .",64,59,5,8%,,,,98,88,11%,,,,,,,,6,44,147,2014,Late,Acacia Capital Partners,$50.0M¾,8/23/16,"$50,000,000 ",Los Angeles,Newport Beach,Los Angeles,CA,United States,North America,B2B,"advertising,analytics,marketing,marketing analytics",,No,No,No
Verto Analytics,vertoanalytics.com,"Verto Analytics is a pioneer in digital multi-screen media measurement. Our audience measurement service provides a holistic view of the digital landscape. Specialties: mobile analytics, app analytics, mobile market research, audience measurement, market research, mobile network analytics, digital business analytics",65,65,0,0%,67,-2,-3%,259,339,-24%,"1,095",-76%,,,,,,9,0,46,2013,B,"Conor Venture Partners,EQT Ventures,Open Ocean",$23.9M¾,6/5/16,"$16,100,000 ",Espoo,Espoo,New York,,Finland,Europe,B2B,"advertising,analytics,marketing,marketing analytics,mobile",big data,Yes,Yes,No
Verve Mobile,vervemobile.com,Mobile experiences that inspire action,262,269,-7,-3%,248,14,6%,"26,384","28,502",-7%,"19,182",38%,,516,,516,,49,253,3852,2005,C,"BlueRun Ventures,Crosscut Ventures,Nokia Growth Partners,Qualcomm Ventures",$31.5M¾,2/13/13,"$14,000,000 ",San Diego,Carlsbad,San Diego,CA,United States,North America,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics,mobile","local,mobile advertising",Yes,Yes,Yes
Vestorly,vestorly.com,The Vestorly platform combines artificial intelligence and content marketing for the financial services industry.,51,50,1,2%,47,4,9%,"2,493","2,676",-7%,"2,233",12%,,,,,,3,7,18,2012,B,"Richmond Global,Sigma Prime Ventures",$14.6M¾,12/7/16,"$8,500,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,email,enterprise software,finance,human resources hr,marketing,marketing analytics,media","content delivery,social media",No,No,No
Viasense,viasense.ca,,7,6,1,17%,3,4,133%,3,8,-63%,8,-63%,,,,,,,,,2013,Exited (other),,Undisclosed,,Undisclosed,Toronto,Toronto,,ON,Canada,North America,"B2B,SaaS","analytics,cloud computing,mobile",big data,No,No,No
Vibes Media,vibes.com,Vibes is a leader in mobile marketing with over 15 years of experience helping marketers build mobile relationships.,276,258,18,7%,237,39,16%,"11,264","11,094",2%,"8,121",39%,,,,,,9,90,537,1998,B,"Fidelity Ventures,Syniverse,Volition Capital",$60.0M¾,6/1/16,"$45,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,"B2B,Consulting","advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics,mobile",mobile marketing,No,No,No
Vidible,vidible.tv,"One Platform. Infinite Solutions. Real Results. ONE by AOL: Publishers is a simple, unified programmatic solution designed to help publishers maximize monetization across every format and channel.",18,18,0,0%,17,1,6%,"303,345","305,219",-1%,"317,240",-4%,,,,,,38,10,189,2012,Exited (acquired),"IDG Ventures,Revel Partners",$4.6M¾,1/3/14,"$3,350,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,marketing,marketing analytics",,No,No,No
vidid,vidid.com.au,Delivering meaningful video views,1,1,0,0%,1,0,0%,11,11,0%,11,0%,,,,,,,,,2010,Exited (other),,Undisclosed,,Undisclosed,Sydney,Sydney,,,Australia,Oceania,,analytics,video,No,No,No
Vidyard,vidyard.com,"Vidyard provides the tools to help every company leverage video across their business. Vidyard can help you to generate demand, control your brand, and tie the impact of video to revenue.",156,156,0,0%,128,28,22%,"425,040","419,445",1%,"407,190",4%,,,,,,13,84,624,2011,C,"Andreessen Horowitz,Battery Ventures,Bessemer Venture Partners,Jill Rowley,OMERS Ventures,Paul Buchheit,SV Angel,Salesforce Ventures,SoftTech VC,Y Combinator,YC Summer 2011,iNovia Capital,reinmkr capital",$60.8M¾,1/26/16,"$35,000,000 ",Kitchener,Kitchener,,ON,Canada,North America,B2B,"advertising,analytics,e-commerce,enterprise software,human resources hr,marketing,marketing analytics","digital marketing,video",No,No,No
Viki,viki.com,"Watch korean dramas. korean shows, kdrama, Bollywood. Watch global TV shows, movies, music videos, entertainment news, Splash TV and more, subtitled in English, Spanish, Portuguese, French, Arabic and many more languages by fan subbers",145,139,6,4%,110,35,32%,"2,770,004","2,829,446",-2%,"2,975,127",-7%,463,388,19%,628,-26%,64,92,1226,2007,Exited (acquired),"500 Startups,Alex Zubillaga,Andreessen Horowitz,Ariel Poler,Charles River Ventures (CRV),David Goldberg,Embarcadero Ventures,Fadi Ghandour,Greylock Partners,Jonathan Heiliger,Neoteny Labs,Omidyar Network,Rajesh Sawhney,SK Planet,Signia Venture Partners,SingTel Innov8,The Raine Group",$24.3M¾,10/21/11,"$20,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"analytics,entertainment,mobile","crowdsourcing,translation,video",Yes,Yes,Yes
VISEO,viseo.net,"VISEO is a multi-specialist in information systems, offering services for clients to complete their IT-related projects.",704,927,-223,-24%,835,-131,-16%,"1,016","1,278",-21%,"1,544",-34%,,,,,,98,503,15595,1999,Late,Audacia,$2.1M¾,1/1/09,"$2,060,000 ",Boulogne Billancourt,Boulogne Billancourt,,,France,Europe,B2B,"analytics,consulting and research,enterprise software,software development",,No,No,No
Visible World,visibleworld.com,Visible World provides targeted television advertising solutions for brands and agencies.,109,108,1,1%,101,8,8%,408,456,-11%,445,-8%,,,,,,107,42,905,2000,C,"AB Global,Adams Street Partners,Comcast Ventures,Dawntreader Ventures,Edgewater,Grey Ventures,Leucadia National,RVC,SoundView Ventures,WPP Ventures,Western Technology Investment",$33.0M¾,4/14/08,"$25,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,cleantech,hardware,hardware peripherals,marketing,marketing analytics,solar power",,No,No,No
"VisiQuate, Inc.",visiquate.com,VisiQuate provides solutions for simplifying enterprise information assets.,60,59,1,2%,60,0,0%,831,702,18%,468,78%,,,,,,31,42,774,2009,C,First Analysis,$10.3M¾,7/21/14,"$6,145,500 ",Bay Area,Santa Rosa,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,enterprise software,finance,healthcare,marketing,pharmaceuticals",analytics,No,No,No
Vitria,vitria.com,Vitria offers an operational intelligence (OI) platform that empowers partners and customers to develop operational intelligence solutions.,155,154,1,1%,148,7,5%,"1,104","1,046",6%,893,24%,,,,,,,,,1994,Exited (ipo),"Redpoint Ventures,Sutter Hill Ventures",$0¾,,Undisclosed,Bay Area,Sunnyvale,Bay Area,CA,United States,North America,B2B,"analytics,customer support,marketing,marketing analytics",,No,No,No
VMob,vmob.com,VMob's intelligent personalization platform generates in store sales revenue for brands with physical locations.,58,57,1,2%,53,5,9%,8,,,,,,,,,,9,0,,2010,Exited (ipo),Vix Investments,$7.8M¾,6/13/16,"$2,300,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,marketing,marketing analytics",,No,No,No
Vobile,vobileinc.com,"Vobile offers solutions to help content owners protect, measure and monetize movies and TV content across the Internet and on all screens.",107,106,1,1%,106,1,1%,252,258,-2%,466,-46%,,,,,,38,57,1479,2005,C,"AT&T,Brian Mulligan,David Wargo,Gideon Yu,IPV Capital,Ivy Capital,Jarl Mohn,Nicholas Moore,Steamboat Ventures,Vernon Altman",$19.0M¾,1/9/14,"$9,000,000 ",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"advertising,analytics,information security,marketing,marketing analytics,security",,No,No,No
Voice2Voice,voice2voice.co,The easiest way to get ridiculously tracking for your social campaigns.,,,,,,,,1,1,0%,1,0%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Bogota,Bogota,,,Colombia,South America,B2B,"advertising,analytics,marketing","big data,sales,small & medium sized business,social media marketing",No,No,No
Voicebase,voicebase.com,"VoiceBase provides simple APIs for automatic speech-to-text, speech analytics and predictive insights, powering intelligence every business needs.",31,31,0,0%,29,2,7%,"30,612","35,322",-13%,"34,943",-12%,,,,,,14,17,155,2010,C,"Band of Angels,Ecosystem Ventures","$700,000¾",1/14/16,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","analytics,enterprise software,human resources hr",big data,Yes,Yes,No
Voltari,voltari.com,"Voltari provides relevance-driven mobile advertising, mobile marketing, mobile merchandising, and predictive analytics solutions.",43,45,-2,-4%,63,-20,-32%,"2,824","3,305",-15%,"5,070",-44%,,,,,,110,-14,125,,Exited (ipo),"Advanced Equities (AEI),New Enterprise Associates",$273.8M¾,1/2/08,"$185,000,000 ",New York,New York,New York,NY,United States,North America,"Advertising,B2B","advertising,analytics,marketing,marketing analytics,mobile","big data,machine learning",No,No,No
VoltDB,voltdb.com,"VoltDB is the world's fastest in-memory operational database - ingest data, analyze data, and act on data in milliseconds with real-time experience",53,52,1,2%,59,-6,-10%,"23,110","22,241",4%,"27,603",-16%,,,,,,19,10,165,2009,C,"Kepha Partners,Sigma Partners,Sigma Prime Ventures",$23.4M¾,7/23/15,"$9,800,000 ",Boston,Bedford,Boston,MA,United States,North America,"B2B,B2C","analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,network / hosting / infrastructure,storage","big data,cloud computing,cloud storage,databases",No,No,No
vSocial,vsocial.com,"VSocial is your next enterprise Social Relationship Marketing suite, built with love by Vocanic. Get in touch for more information.",,,,,,,,45,45,0%,348,-87%,,,,,,114,,,,Exited (other),"Biltmore Ventures,Consor Capital,Roger Ehrenberg",$0¾,9/1/07,Undisclosed,Phoenix,Tempe,Phoenix,AZ,United States,North America,B2B,"analytics,enterprise software,marketing,marketing analytics",,No,No,No
VTS,vts.com,"Drive performance using our platform for leasing and asset management. Find out why the top landlords, brokers and tenant reps in the world choose VTS.",372,345,27,8%,318,54,17%,"8,429","7,477",13%,"6,838",23%,,,,,,10,109,560,2011,C,"500 Startups,Alex Krug,Benjamin Ling,Blackstone,Greg Waldorf,Insight Venture Partners,OpenView Venture Partners,Thomas Byrne,Trinity Ventures,Work-Bench",$87.0M¾,5/4/16,"$55,000,000 ",New York,New York,New York,NY,United States,North America,"B2B,B2C","analytics,enterprise software,finance,human resources hr,marketing,marketing analytics,real estate","big data,video",Yes,Yes,No
Walnut Solutions,walnutsolutions.in,"Team of SEO Experts that help your business with increased leads, market presence, ROI. Get a free anlaysis report from our SEO Expert.",,,,,,,,290,219,32%,129,125%,,,,,,,,,,Exited (ipo),,Undisclosed,,Undisclosed,Dhule,Dhule,,,India,Asia,,"analytics,marketing,marketing analytics",,No,No,No
Wandera,wandera.com,"Wandera offers organizations a solution for Enterprise Mobile Security and Data Management, using a unique gateway architecture.",99,98,1,1%,90,9,10%,"1,174","1,023",15%,997,18%,,23,,23,,25,63,963,2012,B,"83North,Bessemer Venture Partners",$22.0M¾,2/10/15,"$15,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,finance,human resources hr,information security,marketing,marketing analytics,mobile,physical security,security,storage",,Yes,Yes,Yes
WANdisco,wandisco.com,"WANdisco's patented technology provides continuous consistent access to changing data anytime and anywhere with no downtime and no disruption. WANdisco's patented technology serves crucial high availability (HA) requirements, including migration to cloud, Hadoop Big Data and Application Lifecycle Management (ALM) for Subversion, Git and Gerrit.",158,164,-6,-4%,170,-12,-7%,"247,994","246,915",0%,"246,277",1%,,,,,,41,55,1550,2005,Exited (ipo),"BlackRock,Fidelity Investments,JP Morgan Chase & Co,Legal & General",$26.0M¾,9/26/13,Undisclosed,Bay Area,San Ramon,Bay Area,CA,United States,North America,B2B,"analytics,data storage,software development,storage","hadoop,open source",No,No,No
WANTED Technologies,wantedanalytics.com,"WANTED Technologies offers real-time business intelligence for the staffing, HR, RPO, media, and government sectors.",73,73,0,0%,71,2,3%,"49,397","52,229",-5%,"54,761",-10%,,,,,,137,24,398,1997,Exited (acquired),"Desjardins Venture Capital,Innovatech Quebec",$2.3M¾,10/6/05,"$2,250,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,career / job search,human resources hr,marketing",,No,No,No
Waterline Data Science,waterlinedata.com,"Waterline automatically discovers, organizes, and surfaces the high-quality information scattered across your organization with an enterprise data catalog.",29,28,1,4%,27,2,7%,244,279,-13%,284,-14%,,,,,,13,13,105,2013,B,"Deep Nishar,Infosys,Jackson Square Ventures,Menlo Ventures,Partech Ventures,Sigma Partners,Sigma West",$23.0M¾,2/11/16,"$16,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,"B2B,SaaS,Subscription","analytics,data storage,enterprise software,finance,information security,marketing,marketing analytics,professional services,security,storage",,No,No,No
Wavefront,wavefront.com,"Wavefront provides software-based companies with a a query engine, a language, and a hosted platform to visualize and query a wide range of metrics, including computing load and performance data, in order to optimize digital services and eliminate failures.",44,44,0,0%,29,15,52%,170,89,91%,69,146%,,,,,,4,17,53,2013,B,"Sequoia Capital,Sutter Hill Ventures,Tenaya Capital",$63.5M¾,10/25/16,"$52,000,000 ",Palo Alto,Palo Alto,,CA,United States,North America,B2B,"analytics,data storage,enterprise software,information security,professional services,security,storage",,No,No,No
